Captured On,Real-Time Temperature
1/18/2018,-14.81
1/18/2018,-15.75
1/18/2018,-12
1/18/2018,-14.44
1/18/2018,-15.88
1/18/2018,-12
1/18/2018,-15.25
1/18/2018,-11.75
1/18/2018,-14.38
1/18/2018,-14.06
1/18/2018,-11.81
1/18/2018,-15
1/18/2018,-12.5
1/18/2018,-14.06
1/18/2018,-13.69
1/18/2018,-11.63
1/18/2018,-12.88
1/18/2018,-15.94
1/18/2018,-12.38
1/18/2018,-13.94
1/18/2018,-15.75
1/18/2018,-12.69
1/18/2018,-15.75
1/18/2018,-12.69
1/18/2018,-15.06
1/18/2018,-10.75
1/18/2018,-13.75
1/18/2018,-12.44
1/18/2018,-14.19
1/18/2018,-15.06
1/18/2018,-14.44
1/18/2018,-12.88
1/18/2018,-15.63
1/18/2018,-11.44
1/18/2018,-14.69
1/18/2018,-12.69
1/18/2018,-13.38
1/18/2018,-15.5
1/18/2018,-11.44
1/18/2018,-14
1/18/2018,-14.19
1/18/2018,-7.63
1/18/2018,-0.63
1/18/2018,-1
1/18/2018,-7.06
1/18/2018,-10.44
1/18/2018,-12.69
1/18/2018,-14.19
1/18/2018,-14.94
1/18/2018,-15.25
1/18/2018,-14.63
1/18/2018,-12.75
1/18/2018,-14.94
1/18/2018,-14.94
1/18/2018,-12.81
1/18/2018,-15.38
1/18/2018,-11.56
1/18/2018,-14.25
1/18/2018,-15.13
1/18/2018,-12.19
1/18/2018,-14.81
1/18/2018,-12.44
1/18/2018,-14.06
1/18/2018,-14.06
1/18/2018,-13.38
1/18/2018,-15.19
1/18/2018,-12.75
1/18/2018,-12
1/18/2018,-13.06
1/18/2018,-14.06
1/18/2018,-15.38
1/18/2018,-12.94
1/18/2018,-14
1/18/2018,-13.75
1/18/2018,-13.56
1/18/2018,-15.13
1/18/2018,-12.75
1/18/2018,-15.56
1/18/2018,-12.44
1/18/2018,-15.81
1/18/2018,-12.13
1/18/2018,-15.75
1/18/2018,-12
1/18/2018,-15.69
1/18/2018,-11.81
1/18/2018,-15.56
1/18/2018,-11.69
1/18/2018,-15.56
1/18/2018,-11.69
1/18/2018,-13.81
1/18/2018,-7.06
1/18/2018,-0.19
1/18/2018,-6.88
1/18/2018,-11.56
1/18/2018,-14.25
1/18/2018,-15.63
1/18/2018,-12
1/18/2018,-15.25
1/18/2018,-11.5
1/18/2018,-14.88
1/18/2018,-11.81
1/18/2018,-14.75
1/18/2018,-12
1/18/2018,-14.75
1/18/2018,-12
1/18/2018,-14.88
1/18/2018,-11.81
1/18/2018,-14.88
1/18/2018,-11.69
1/18/2018,-14.69
1/18/2018,-11.81
1/18/2018,-14.81
1/18/2018,-11.69
1/18/2018,-15.06
1/18/2018,-11.56
1/18/2018,-15.31
1/18/2018,-11.63
1/18/2018,-15.44
1/18/2018,-11.69
1/18/2018,-12.63
1/18/2018,-14.44
1/18/2018,-15.5
1/18/2018,-13.31
1/18/2018,-13.5
1/18/2018,-15.81
1/18/2018,-12.06
1/18/2018,-15.38
1/18/2018,-11.56
1/18/2018,-15
1/18/2018,-11.63
1/18/2018,-14.69
1/18/2018,-12.25
1/18/2018,-14.44
1/18/2018,-12.75
1/18/2018,-14.25
1/18/2018,-13.06
1/18/2018,-13.69
1/18/2018,-15.88
1/18/2018,-10.69
1/18/2018,-4.69
1/18/2018,-1.25
1/18/2018,-8.5
1/18/2018,-12.13
1/18/2018,-14.5
1/18/2018,-14.88
1/18/2018,-12.75
1/18/2018,-15.81
1/18/2018,-12.13
1/18/2018,-15.69
1/18/2018,-11.94
1/18/2018,-15.69
1/18/2018,-11.94
1/18/2018,-15.75
1/18/2018,-12
1/18/2018,-15.69
1/18/2018,-11.88
1/18/2018,-15.75
1/18/2018,-12.06
1/18/2018,-15.88
1/18/2018,-13
1/18/2018,-15.19
1/18/2018,-13.13
1/18/2018,-14.56
1/18/2018,-13.44
1/18/2018,-14.38
1/18/2018,-13.63
1/18/2018,-13.94
1/19/2018,-13.88
1/19/2018,-13.38
1/19/2018,-14.25
1/19/2018,-12.69
1/19/2018,-14.63
1/19/2018,-9.81
1/19/2018,-14.25
1/19/2018,-13.63
1/19/2018,-14.13
1/19/2018,-12.94
1/19/2018,-14.5
1/19/2018,-12.25
1/19/2018,-14.81
1/19/2018,-11.69
1/19/2018,-15.19
1/19/2018,-11.63
1/19/2018,-15.56
1/19/2018,-11.81
1/19/2018,-15.88
1/19/2018,-12.13
1/19/2018,-14.75
1/19/2018,-7.88
1/19/2018,-1.19
1/19/2018,-8.88
1/19/2018,-13
1/19/2018,-15.38
1/19/2018,-11.5
1/19/2018,-15.06
1/19/2018,-11.56
1/19/2018,-15.06
1/19/2018,-11.56
1/19/2018,-15.25
1/19/2018,-11.63
1/19/2018,-15.5
1/19/2018,-11.75
1/19/2018,-15.75
1/19/2018,-12.06
1/19/2018,-15.88
1/19/2018,-12.44
1/19/2018,-15.56
1/19/2018,-12.88
1/19/2018,-14.94
1/19/2018,-13.31
1/19/2018,-14.31
1/19/2018,-13.81
1/19/2018,-13.44
1/19/2018,-14.25
1/19/2018,-12.56
1/19/2018,-14.69
1/19/2018,-11.75
1/19/2018,-15.19
1/19/2018,-11.63
1/19/2018,-15.63
1/19/2018,-11.88
1/19/2018,-15.88
1/19/2018,-12.31
1/19/2018,-15.5
1/19/2018,-13
1/19/2018,-14.63
1/19/2018,-13.63
1/19/2018,-13.63
1/19/2018,-14.25
1/19/2018,-12.44
1/19/2018,-14.88
1/19/2018,-11.69
1/19/2018,-15.44
1/19/2018,-11.81
1/19/2018,-15.88
1/19/2018,-12.31
1/19/2018,-15.19
1/19/2018,-8.31
1/19/2018,-2.38
1/19/2018,-9.88
1/19/2018,-13.94
1/19/2018,-14.94
1/19/2018,-13.19
1/19/2018,-14.75
1/19/2018,-12.38
1/19/2018,-13.56
1/19/2018,-14.56
1/19/2018,-13.38
